error	reads	squared_error
0	1	0
0	2	0
0	3	0
0	4	0
0	5	0
0	6	0
0	7	0
0	8	0
0	9	0
0	10	0
0	10	0
0	20	0
0	30	0
0	40	0
0	50	0
0	60	0
0	70	0
0	80	0
0	90	0
0	100	0
0	100	0
0	200	0
0	300	0
0	400	0
0	500	0
0	600	0
0	700	0
0	800	0
0	900	0
0	1000	0
0	1000	0
0	2000	0
0	3000	0
0	4000	0
0	5000	0
0	6000	0
0	7000	0
0	8000	0
0	9000	0
0	10000	0
0.008547008547008517	1	7.305135510263663e-5
-0.006452991452991497	2	4.164109869238131e-5
0.001880341880341807	3	3.5356855869673628e-6
0.003547008547008512	4	1.2581269632551436e-5
-0.0014529914529914922	5	2.1111841624663278e-6
0.001880341880341807	6	3.5356855869673628e-6
-2.4420024420046538e-5	7	5.963375926756693e-10
-0.0014529914529914922	8	2.1111841624663278e-6
0.002991452991452981	9	8.948791000072987e-6
5.470085470085095e-4	10	2.992183505003608e-7
0.0025470085470085113	10	6.487252538534408e-6
0.0015470085470085104	20	2.3932354445173826e-6
2.1367521367521292e-4	30	4.56570969391479e-8
7.97008547008482e-4	40	6.352226240045716e-7
-0.0010529914529915363	50	1.1087910000732267e-6
0.0010470085470084545	60	1.096226897508755e-6
-0.0010244200244200474	70	1.0494363864327707e-6
2.9700854700853707e-4	80	8.821407699612238e-8
2.1367521367521292e-4	90	4.56570969391479e-8
0.0012470085470085435	100	1.5550303163123589e-6
4.4700854700852055e-4	100	1.9981664109866874e-7
6.97008547008493e-4	200	4.858209146028907e-7
4.4700854700852055e-4	300	1.9981664109866874e-7
5.220085470085678e-4	400	2.7249292314999613e-7
1.0700854700851359e-4	500	1.1450829132873262e-8
-4.363247863248265e-4	600	1.9037931916140552e-7
-3.3870573870575793e-4	700	1.1472157743221316e-7
3.220085470084788e-4	800	1.036895043465117e-7
-8.196581196581176e-4	900	6.718394331214811e-7
5.470085470085095e-4	1000	2.992183505003608e-7
-2.529914529915134e-4	1000	6.400467528675712e-8
-1.8799145299142062e-4	2000	3.5340786397825504e-8
-4.299145299146989e-5	3000	1.8482650303177654e-9
1.5200854700847533e-4	4000	2.3106598363627853e-8
1.5008547008532602e-5	5000	2.2525648330733293e-10
-5.799145299145714e-5	6000	3.363008620060383e-9
-3.244200244200135e-4	7000	1.0524835224468215e-7
8.075854700850815e-5	8000	6.521942914925421e-9
3.418803418142602e-7	9000	1.168821681190354e-13
-2.5991452991536157e-5	10000	6.755556286112338e-10
-0.002125984251968527	1	4.519809039618176e-6
0.007874015748031482	2	6.200012400024778e-5
0.004540682414698183	3	2.061779679114932e-5
3.740157480315309e-4	4	1.3988777977558562e-7
-0.002125984251968527	5	4.519809039618176e-6
0.0012073490813647725	6	1.45769180427236e-6
7.311586051743646e-4	7	5.345929059205224e-7
-0.005875984251968558	8	3.452719092938249e-5
0.003429571303587009	9	1.1761959326387497e-5
-0.0051259842519685295	10	2.6275714551429363e-5
0.0018740157480314767	10	3.511935023869975e-6
0.0043740157480314235	20	1.9132013764026894e-5
2.073490813647716e-4	30	4.299364154281467e-8
-6.2598425196847e-4	40	3.918562837125249e-7
-5.25984251968481e-4	50	2.7665943331884247e-7
-0.0012926509186351742	60	1.6709463974483598e-6
8.740157480314759e-4	70	7.639035278070203e-7
0.0014990157480314625	80	2.247048212846325e-6
-5.704286964129945e-4	90	3.253888976914283e-7
-2.5984251968536043e-5	100	6.751813503643692e-10
5.740157480315089e-4	100	3.294940789881727e-7
-2.759842519685085e-4	200	7.616730733461719e-8
